"CO.Fabrica","CO.Cliente","rota_fabrica_cliente","custo_min_rota_24","Demanda","Producao","Qtd.Transp_Otim_24_Otimista","Vlr.Frete_Otim_24_Otimista"
"3403208","2301","3403208 - 2301",0.47925937500000004,5973721,90000000,0.0,0.0
"3403208","2302","3403208 - 2302",0.28488833333333335,1778080,90000000,1778080.0,506554.2477333334
"3403208","2303","3403208 - 2303",0.3281891666666667,5958798,90000000,5958798.0,1955612.949955
"3403208","2304","3403208 - 2304",0.28488833333333335,896173,90000000,896173.0,255309.23234833335
"3403208","2305","3403208 - 2305",0.28488833333333335,3241494,90000000,3241494.0,923463.8231700001
"3403208","2306","3403208 - 2306",0.3281891666666667,3244827,90000000,3244827.0,1064917.0691075001
"3403208","2307","3403208 - 2307",0.43133124999999994,12738726,90000000,12738726,5494610.608987499
"3403208","2308","3403208 - 2308",0.3281891666666667,6792503,90000000,6792503.0,2229225.8991508335
"3403208","2309","3403208 - 2309",0.27064625,7471374,90000000,7471374.0,2022099.3554474998
"3403208","2310","3403208 - 2310",0.4630616666666667,2098730,90000000,0.0,0.0
"3403208","2311","3403208 - 2311",0.24487458333333334,7295028,90000000,7295028.0,1786366.941905
"3403208","2312","3403208 - 2312",0.5498791666666667,1350774,90000000,1350774.0,742762.481475
"3403208","2313","3403208 - 2313",0.57882125,1439856,90000000,1439856.0,833419.2497399999
"3403208","2314","3403208 - 2314",0.57882125,3977784,90000000,3977784.0,2302425.90711
"3403208","2315","3403208 - 2315",0.57882125,3666906,90000000,3666906.0,2122483.1145524997
"3403208","2316","3403208 - 2316",0.57882125,271034,90000000,271034.0,156880.23867249998
"3403208","2317","3403208 - 2317",0.57882125,1272373,90000000,1272373.0,736476.5303262499
"3403208","2318","3403208 - 2318",0.57882125,569236,90000000,569236.0,329485.89306499995
"3403208","2319","3403208 - 2319",0.4630616666666667,1589336,90000000,0.0,0.0
"3403208","2320","3403208 - 2320",0.6865600000000001,5063433,90000000,0.0,0.0
"3403208","2321","3403208 - 2321",0.7399816666666666,10686204,90000000,0.0,0.0
"3403208","2322","3403208 - 2322",0.4630616666666667,2495205,90000000,0.0,0.0
"3403208","2323","3403208 - 2323",0.6865600000000001,1753764,90000000,0.0,0.0
"3403208","2324","3403208 - 2324",0.4558166666666667,20427048,90000000,0.0,0.0
"3403208","2325","3403208 - 2325",0.496265,7828763,90000000,0.0,0.0
"3403208","2326","3403208 - 2326",0.4558166666666667,5788209,90000000,0.0,0.0
"3403208","2327","3403208 - 2327",0.45581666666666665,11836544,90000000,0.0,0.0
"3403208","2328","3403208 - 2328",0.4630616666666667,6145143,90000000,0.0,0.0
"3403208","2329","3403208 - 2329",0.6919150000000001,13860432,90000000,0.0,0.0
"3403208","2330","3403208 - 2330",0.7283360000000001,3482379,90000000,0.0,0.0
"3403208","2331","3403208 - 2331",0.4630616666666667,4084642,90000000,0.0,0.0
"3403208","2332","3403208 - 2332",0.46306166666666665,10839219,90000000,0.0,0.0
"3403208","2333","3403208 - 2333",0.49626499999999996,1336988,90000000,0.0,0.0
"3403208","2334","3403208 - 2334",0.4630616666666667,1898750,90000000,0.0,0.0
"3403208","2335","3403208 - 2335",0.46306166666666676,14197671,90000000,0.0,0.0
"3403208","2336","3403208 - 2336",,1716192,90000000,0.0,0.0
"3403208","2337","3403208 - 2337",,827342,90000000,0.0,0.0
"3403208","2338","3403208 - 2338",,2539443,90000000,0.0,0.0
"3403208","2339","3403208 - 2339",0.5878629166666667,1789064,90000000,0.0,0.0
"3403208","2340","3403208 - 2340",0.5878629166666667,973767,90000000,0.0,0.0
"3403208","2341","3403208 - 2341",0.5878629166666667,5304924,90000000,0.0,0.0
"3403208","2342","3403208 - 2342",0.5878629166666667,838856,90000000,0.0,0.0
"3403208","2343","3403208 - 2343",0.5878629166666667,8150094,90000000,7525863.0,4424175.77361375
"3403208","2344","3403208 - 2344",0.4330287500000001,678417,90000000,678417.0,293774.06548875006
"3403208","2345","3403208 - 2345",0.4330287500000001,3600095,90000000,3600095.0,1558944.6377312504
"3403208","2346","3403208 - 2346",0.41137833333333335,3522678,90000000,3522678.0,1449153.40451
"3403208","2347","3403208 - 2347",0.22594250000000005,3675315,90000000,3675315.0,830409.8593875002
"3403208","2348","3403208 - 2348",0.1736525,1310374,90000000,1310374.0,227549.721035
"3403208","2349","3403208 - 2349",0.25104624999999997,1761137,90000000,1761137.0,442126.83958624996
"3403208","2350","3403208 - 2350",0.2170641666666667,4402893,90000000,4402893.0,955710.2999675001
"3403208","2351","3403208 - 2351",0.30574250000000003,1331761,90000000,1331761.0,407175.93754250003
"3424402","2301","3424402 - 2301",0.22790833333333332,5973721,90000000,5973721.0,1361460.7969083332
"3424402","2302","3424402 - 2302",0.22790833333333335,1778080,90000000,0.0,0.0
"3424402","2303","3424402 - 2303",0.2448745833333334,5958798,90000000,0.0,0.0
"3424402","2304","3424402 - 2304",0.25776333333333334,896173,90000000,0.0,0.0
"3424402","2305","3424402 - 2305",0.22790833333333332,3241494,90000000,0.0,0.0
"3424402","2306","3424402 - 2306",0.24487458333333337,3244827,90000000,0.0,0.0
"3424402","2307","3424402 - 2307",0.2625525,12738726,90000000,0.0,0.0
"3424402","2308","3424402 - 2308",0.23263333333333336,6792503,90000000,0.0,0.0
"3424402","2309","3424402 - 2309",0.28488833333333335,7471374,90000000,0.0,0.0
"3424402","2310","3424402 - 2310",0.22594250000000005,2098730,90000000,0.0,0.0
"3424402","2311","3424402 - 2311",0.36465333333333333,7295028,90000000,0.0,0.0
"3424402","2312","3424402 - 2312",,1350774,90000000,0.0,0.0
"3424402","2313","3424402 - 2313",,1439856,90000000,0.0,0.0
"3424402","2314","3424402 - 2314",,3977784,90000000,0.0,0.0
"3424402","2315","3424402 - 2315",,3666906,90000000,0.0,0.0
"3424402","2316","3424402 - 2316",,271034,90000000,0.0,0.0
"3424402","2317","3424402 - 2317",,1272373,90000000,0.0,0.0
"3424402","2318","3424402 - 2318",,569236,90000000,0.0,0.0
"3424402","2319","3424402 - 2319",0.22594250000000005,1589336,90000000,1589336.0,359098.5491800001
"3424402","2320","3424402 - 2320",0.230013,5063433,90000000,5063433.0,1164655.414629
"3424402","2321","3424402 - 2321",0.25104624999999997,10686204,90000000,10686204,2682731.440935
"3424402","2322","3424402 - 2322",0.22594250000000005,2495205,90000000,2495205.0,563772.8557125002
"3424402","2323","3424402 - 2323",0.230013,1753764,90000000,1753764.0,403388.518932
"3424402","2324","3424402 - 2324",0.1736525,20427048,90000000,0.0,0.0
"3424402","2325","3424402 - 2325",0.2465015,7828763,90000000,7828763.0,1929801.8226445
"3424402","2326","3424402 - 2326",0.1736525,5788209,90000000,5788209.0,1005136.9633724999
"3424402","2327","3424402 - 2327",0.1736525,11836544,90000000,11836544,2055445.4569599999
"3424402","2328","3424402 - 2328",0.230013,6145143,90000000,0.0,0.0
"3424402","2329","3424402 - 2329",0.19590375,13860432,90000000,1145172.0,224343.48919499997
"3424402","2330","3424402 - 2330",0.2218545,3482379,90000000,3482379.0,772581.4518555
"3424402","2331","3424402 - 2331",0.1736525,4084642,90000000,4084642.0,709308.2949049999
"3424402","2332","3424402 - 2332",0.2277065,10839219,90000000,10839219,2468160.6212235
"3424402","2333","3424402 - 2333",0.2414941666666667,1336988,90000000,1336988.0,322874.8029033334
"3424402","2334","3424402 - 2334",0.1736525,1898750,90000000,1898750.0,329722.68437499995
"3424402","2335","3424402 - 2335",0.1736525,14197671,90000000,14197671,2465461.0633274997
"3424402","2336","3424402 - 2336",0.4630616666666667,1716192,90000000,0.0,0.0
"3424402","2337","3424402 - 2337",0.46306166666666665,827342,90000000,0.0,0.0
"3424402","2338","3424402 - 2338",0.4630616666666667,2539443,90000000,0.0,0.0
"3424402","2339","3424402 - 2339",,1789064,90000000,0.0,0.0
"3424402","2340","3424402 - 2340",,973767,90000000,0.0,0.0
"3424402","2341","3424402 - 2341",,5304924,90000000,0.0,0.0
"3424402","2342","3424402 - 2342",,838856,90000000,0.0,0.0
"3424402","2343","3424402 - 2343",,8150094,90000000,0.0,0.0
"3424402","2344","3424402 - 2344",0.28488833333333335,678417,90000000,0.0,0.0
"3424402","2345","3424402 - 2345",0.28488833333333335,3600095,90000000,0.0,0.0
"3424402","2346","3424402 - 2346",0.28488833333333335,3522678,90000000,0.0,0.0
"3424402","2347","3424402 - 2347",0.5878629166666667,3675315,90000000,0.0,0.0
"3424402","2348","3424402 - 2348",0.5878629166666667,1310374,90000000,0.0,0.0
"3424402","2349","3424402 - 2349",0.9995358333333334,1761137,90000000,0.0,0.0
"3424402","2350","3424402 - 2350",0.6772208333333334,4402893,90000000,0.0,0.0
"3424402","2351","3424402 - 2351",1.107505,1331761,90000000,0.0,0.0
"3423909","2301","3423909 - 2301",,5973721,56000000,0.0,0.0
"3423909","2302","3423909 - 2302",,1778080,56000000,0.0,0.0
"3423909","2303","3423909 - 2303",,5958798,56000000,0.0,0.0
"3423909","2304","3423909 - 2304",,896173,56000000,0.0,0.0
"3423909","2305","3423909 - 2305",0.19319125,3241494,56000000,0.0,0.0
"3423909","2306","3423909 - 2306",,3244827,56000000,0.0,0.0
"3423909","2307","3423909 - 2307",,12738726,56000000,0.0,0.0
"3423909","2308","3423909 - 2308",0.20335000000000003,6792503,56000000,0.0,0.0
"3423909","2309","3423909 - 2309",0.22594250000000005,7471374,56000000,0.0,0.0
"3423909","2310","3423909 - 2310",0.1736525,2098730,56000000,2098730.0,364449.711325
"3423909","2311","3423909 - 2311",0.19319125,7295028,56000000,0.0,0.0
"3423909","2312","3423909 - 2312",,1350774,56000000,0.0,0.0
"3423909","2313","3423909 - 2313",,1439856,56000000,0.0,0.0
"3423909","2314","3423909 - 2314",,3977784,56000000,0.0,0.0
"3423909","2315","3423909 - 2315",,3666906,56000000,0.0,0.0
"3423909","2316","3423909 - 2316",,271034,56000000,0.0,0.0
"3423909","2317","3423909 - 2317",,1272373,56000000,0.0,0.0
"3423909","2318","3423909 - 2318",,569236,56000000,0.0,0.0
"3423909","2319","3423909 - 2319",,1589336,56000000,0.0,0.0
"3423909","2320","3423909 - 2320",,5063433,56000000,0.0,0.0
"3423909","2321","3423909 - 2321",,10686204,56000000,0.0,0.0
"3423909","2322","3423909 - 2322",,2495205,56000000,0.0,0.0
"3423909","2323","3423909 - 2323",,1753764,56000000,0.0,0.0
"3423909","2324","3423909 - 2324",0.1736525,20427048,56000000,20427048,3547207.95282
"3423909","2325","3423909 - 2325",0.25947250000000005,7828763,56000000,0.0,0.0
"3423909","2326","3423909 - 2326",0.22770650000000003,5788209,56000000,0.0,0.0
"3423909","2327","3423909 - 2327",0.1861066666666667,11836544,56000000,0.0,0.0
"3423909","2328","3423909 - 2328",0.18232666666666666,6145143,56000000,6145143.0,1120423.4393799999
"3423909","2329","3423909 - 2329",0.205695,13860432,56000000,12715260,2615465.4057
"3423909","2330","3423909 - 2330",0.27132291666666664,3482379,56000000,0.0,0.0
"3423909","2331","3423909 - 2331",0.22594250000000002,4084642,56000000,0.0,0.0
"3423909","2332","3423909 - 2332",0.31952083333333337,10839219,56000000,0.0,0.0
"3423909","2333","3423909 - 2333",0.628467,1336988,56000000,0.0,0.0
"3423909","2334","3423909 - 2334",0.22594250000000005,1898750,56000000,0.0,0.0
"3423909","2335","3423909 - 2335",0.22594250000000007,14197671,56000000,0.0,0.0
"3423909","2336","3423909 - 2336",0.28488833333333335,1716192,56000000,1716192.0,488923.07856000005
"3423909","2337","3423909 - 2337",0.28488833333333335,827342,56000000,827342.0,235700.08347666668
"3423909","2338","3423909 - 2338",0.28488833333333335,2539443,56000000,2539443.0,723457.683865
"3423909","2339","3423909 - 2339",0.41137833333333335,1789064,56000000,1789064.0,735982.1665466666
"3423909","2340","3423909 - 2340",0.41137833333333335,973767,56000000,973767.0,400586.64551500004
"3423909","2341","3423909 - 2341",0.36465333333333333,5304924,56000000,5304924.0,1934458.2196799999
"3423909","2342","3423909 - 2342",0.36465333333333333,838856,56000000,838856.0,305891.6365866667
"3423909","2343","3423909 - 2343",0.41137833333333335,8150094,56000000,624231.0,256795.10839500002
"3423909","2344","3423909 - 2344",,678417,56000000,0.0,0.0
"3423909","2345","3423909 - 2345",,3600095,56000000,0.0,0.0
"3423909","2346","3423909 - 2346",,3522678,56000000,0.0,0.0
"3423909","2347","3423909 - 2347",0.4630616666666667,3675315,56000000,0.0,0.0
"3423909","2348","3423909 - 2348",0.46306166666666676,1310374,56000000,0.0,0.0
"3423909","2349","3423909 - 2349",0.4630616666666667,1761137,56000000,0.0,0.0
"3423909","2350","3423909 - 2350",0.4630616666666667,4402893,56000000,0.0,0.0
"3423909","2351","3423909 - 2351",0.4630616666666667,1331761,56000000,0.0,0.0
